ID,Concept Name,Dependencies (IDs),Group ID
1,Intro to Computational Thinking,,1
2,Problem Decomposition,1,1
3,Pattern Recognition,1,1
4,Abstraction,1,1
5,Algorithm Design,1|2|3|4,1
6,Basic Programming Concepts,1|5,2
7,Variables in Programming,6,2
8,Data Types in Programming,6|7,2
9,Operators,6|7|8,2
10,Control Structures,6|7|8|9,2
11,Conditional Statements,10|9,2
12,Loops,10,2
13,Functions,6|7|8|10,2
14,Intro to MicroPython,6,3
15,MicroPython Thonny,14,3
16,Syntax in MicroPython,14|15,3
17,Function Parameters,13|16,3
18,Modules in MicroPython,16|17,3
19,Input and Output,16|7|8,3
20,Working with Strings,8|16,3
21,Working with Numbers,8|16,3
22,Lists,8|16,3
23,Tuples,8|16,3
24,Dictionaries,8|16,3
25,Exception Handling,16|10,3
26,Microcontroller Basics,,4
27,The Raspberry Pi Pico,26,4
28,Understanding GPIO Pins,26|27,4
29,Solderless Breadboards,32,4
30,Breadboard Usage,29|32,4
31,Circuit Basics,,5
32,Ohm's Law,31,5
33,Resistors,31|32,5
34,LEDs,31,5
35,Resistors and LEDs,33|34|32,5
36,Resistors Circuits,33|35,5
37,Connecting LEDs,34|30,5
38,Blinking an LED with MicroPython,37|16|28,3
39,Digital Output Signals,28|16,4
40,Digital Input Signals,28|16,4
41,Reading Button Inputs,40|30,4
42,Debouncing Switches,41|10,3
43,Pull-up and Pull-down Resistors,33|41,5
44,Controlling Multiple LEDs,37|38|16,4
45,Using Breadboard Jumpers,30,4
46,Potentiometers in Circuits,31|33,5
47,Reading Analog Inputs,46|28,6
48,Analog-to-Digital Conversion,47,5
49,Using ADC in MicroPython,48|16,3
50,Reading Potentiometer Values,49|46,6
51,Pulse Width Modulation Fundamentals,6|10,7
52,Implementing Pulse Width Modulation in MicroPython,51|16,3
53,LED Brightness with PWM,52|37,7
54,Fading LEDs Using PWM,53|12,7
55,Advanced Pulse Width Modulation Techniques,54|52,7
56,Servo Motors Overview,31,7
57,Controlling Servo Motors,52|28|56,7
58,DC Motors Overview,31,7
59,Transistors as Switches,31|33,5
60,Controlling Motors with Transistors,59|58,7
61,Transistor Biasing Resistors,59|33,5
62,Power Management with Transistors,59|61,7
63,Photocells,31|33,6
